,Collection Month,No FICO DQ,No FICO Bal,LT 500 DQ,LT 500 Bal,501-600 DQ,501-600 Bal,601-700 DQ,601-700 Bal,701-800 DQ,701-800 Bal,801+ DQ,801+ Bal,Deal
0,8/31/2017,102836.06,189570256.3,135471.07,189570256.3,353188.51,74167395.71,372955.38,319523181.4,334559.34,365851253.4,0,302486339.7,Ford Credit Auto Owner Trust 2017-A
0,7/31/2017,45553.11,196243476.6,219545.76,196243476.6,412318.88,76317201.83,385758.11,330386185.9,143656.23,378460549.1,70023.81,313135929.4,Ford Credit Auto Owner Trust 2017-A
0,6/30/2017,150539.77,202710142.8,203923.53,202710142.8,383151.68,78773140.74,486955.74,340327539.6,131988.6,392250477,22214.05,323542425.4,Ford Credit Auto Owner Trust 2017-A
0,5/31/2017,127283.35,210106539.2,196703.14,210106539.2,182418.56,81066664.79,632704.17,350251534.8,237689.34,404917515.7,17349.78,334365514,Ford Credit Auto Owner Trust 2017-A
0,4/30/2017,61917.4,217374263.1,54148.97,217374263.1,243387.4,83619524.31,281182.09,361656338.1,157571.91,419664539.9,0,346672122.4,Ford Credit Auto Owner Trust 2017-A
0,3/31/2017,39631.83,233620678.5,108330.82,233620678.5,88087.55,115789041,439706.13,373672849.3,92439.1,432641665.6,0,358427368.8,Ford Credit Auto Owner Trust 2017-A
0,2/28/2017,57345.14,242095064.6,19990.09,242095064.6,174708.66,119263793.9,426452.45,384293208.5,67728.94,448571964.8,0,372744141.2,Ford Credit Auto Owner Trust 2017-A
0,1/31/2017,19110.81,250006180.8,0,250006180.8,35509.44,122399632.9,47409.52,393778888.5,43725.02,464724437.3,0,386627974.3,Ford Credit Auto Owner Trust 2017-A
0,9/30/2018,73278.06,105442602.9,312054.13,105442602.9,355152.86,46875269.17,497034.45,197025726.8,233714.63,223461179.5,67923.9,178431379.1,Ford Credit Auto Owner Trust 2017-B
0,8/31/2018,163207.99,118528069.9,377004.74,118528069.9,308751.42,48566849.91,464312.12,204938826.7,239237.57,232065233.4,41615.71,185453176.6,Ford Credit Auto Owner Trust 2017-B
0,7/31/2018,50112.27,123595941.6,456846.8,123595941.6,359352.57,50454259.65,631484.71,213151531.4,233731.87,241174041.7,22260.86,193404511.6,Ford Credit Auto Owner Trust 2017-B
0,6/30/2018,44639.28,128472755.5,289244.77,128472755.5,261707.72,52257005.15,559725.5,220978497.3,180707.06,250489575.7,0,200965766.5,Ford Credit Auto Owner Trust 2017-B
0,5/31/2018,74413.78,133611004.8,428119.72,133611004.8,359044.59,54369978.15,793919.5,229151378.3,165994.19,259831928.9,15430.43,208563267.9,Ford Credit Auto Owner Trust 2017-B
0,4/30/2018,76232.74,138917790.3,236185.73,138917790.3,360779.72,56472647.86,642839.65,237708432.6,104303.58,269922415.5,0,216239920.7,Ford Credit Auto Owner Trust 2017-B
0,3/31/2018,67105.32,144628805.6,331601.44,144628805.6,324900.08,58336177.14,602421.16,245920825.5,33999.58,279823651.3,33273.32,224503079.6,Ford Credit Auto Owner Trust 2017-B
0,2/28/2018,94807.35,150419793.6,278266.19,150419793.6,294869.62,60642658.24,563488.63,255393660.9,151715.72,290056647.1,0,232682013.1,Ford Credit Auto Owner Trust 2017-B
0,1/31/2018,52798.54,155574894.4,297610.88,155574894.4,250636.02,62289048.77,594205.02,263388435.4,164025.63,300065146.1,0,240535513.6,Ford Credit Auto Owner Trust 2017-B
0,12/31/2017,22709.89,161582575.5,174253.74,161582575.5,247526.75,64385045.67,644117.63,272221345.4,259993.26,310971005.5,0,249623088.2,Ford Credit Auto Owner Trust 2017-B
0,11/30/2017,83550.32,167254497.5,124196.52,167254497.5,331359.63,66231851.57,407788.43,280863275.6,124066.01,321551242.7,0,257942773.8,Ford Credit Auto Owner Trust 2017-B
0,10/31/2017,13964.99,172858089.8,67842.06,172858089.8,269183.58,68062062.33,331359.78,289036078.8,219192.23,332153566.9,18729.99,266576106.5,Ford Credit Auto Owner Trust 2017-B
0,9/30/2017,94145.37,179051168.9,255540.65,179051168.9,177294.61,70265469.9,371888.04,297858719,153847.31,343250453.9,3479.68,275669907.2,Ford Credit Auto Owner Trust 2017-B
0,8/31/2017,133031.68,185263100.3,151341.04,185263100.3,160758.84,72265592.17,385243.45,306348511.1,147145.3,354460404.2,3479.68,285997518.7,Ford Credit Auto Owner Trust 2017-B
0,7/31/2017,81213.28,191963211.8,43311.91,191963211.8,210700.07,74199737.17,389031.9,315552059.8,21167.05,367697515.2,3479.68,297058580.3,Ford Credit Auto Owner Trust 2017-B
0,6/30/2017,0,198399977.6,0,198399977.6,0,75962712.35,0,324412546.6,0,379960352.7,0,308120831.8,Ford Credit Auto Owner Trust 2017-B
0,5/31/2017,0,205584218.1,0,205584218.1,0,77778102.46,0,332995833.4,0,394423489.3,0,322633547.6,Ford Credit Auto Owner Trust 2017-B
0,9/30/2018,69159.19,175148473.5,283574.91,175148473.5,409571.99,74329258.48,809798.78,315734584.3,84462.92,379040465.9,42625.38,306053298.9,Ford Credit Auto Owner Trust 2017-C
0,8/31/2018,114159.97,196066600.1,26568.61,196066600.1,443526.88,76742651.78,693522.05,326799310.1,119076.89,392502143,22090.86,317266336.7,Ford Credit Auto Owner Trust 2017-C
0,7/31/2018,43966.38,203739855.2,350504.41,203739855.2,274181.57,79570480.25,635621.54,338376158.6,107620.84,407441060.9,8622.82,329571295.6,Ford Credit Auto Owner Trust 2017-C
0,6/30/2018,106288.53,211854850.3,189920.46,211854850.3,263140.21,82024162.08,476894.75,350102197.9,87551.74,421752491.8,0,341845862.9,Ford Credit Auto Owner Trust 2017-C
0,5/31/2018,81449.04,219375388.4,364172.37,219375388.4,347181.1,84657264.26,521642.25,362040633.9,107986.55,436225844.8,0,354265837.7,Ford Credit Auto Owner Trust 2017-C
0,4/30/2018,310409.2,227396372.9,220515.91,227396372.9,299347.12,87367993.3,323758.26,374993004.1,223401,451474534.2,19108.87,367462370.1,Ford Credit Auto Owner Trust 2017-C
0,3/31/2018,150979.82,235628630.4,77772.78,235628630.4,278608.7,90065935.73,258924.49,387482431.1,183750.27,467635371.1,14050.08,381363063,Ford Credit Auto Owner Trust 2017-C
0,2/28/2018,128103.43,244257071.8,232116.28,244257071.8,205527.98,92712523.77,523920.09,400380747.6,32947.26,485770671.5,0,396374238.1,Ford Credit Auto Owner Trust 2017-C
0,1/31/2018,34967.08,252658861.7,244970.97,252658861.7,398341.19,94798119.19,521864.91,411852350.5,101147.71,504042178.5,0,412095121.6,Ford Credit Auto Owner Trust 2017-C
0,12/31/2017,34291.59,262519283.9,70771.51,262519283.9,143221.78,97149168.39,259296.09,423717008.6,39592.99,524559115.2,0,433298085.4,Ford Credit Auto Owner Trust 2017-C
0,11/30/2017,0,272507012.6,0,272507012.6,0,99875272.93,0,435618947.8,0,546052395.1,0,453539342.5,Ford Credit Auto Owner Trust 2017-C
0,10/31/2017,0,283299242.7,0,283299242.7,0,102115365.2,0,448178097.7,0,572727564.7,0,482040342.5,Ford Credit Auto Owner Trust 2017-C
0,9/30/2018,72930.35,330362.81,52258.22,330362.81,2962784.14,58689515.21,6076570.33,275835137,806255.91,205693981.2,695.61,103779859.5,CarMax Auto Owner Trust 2017-1
0,8/31/2018,60046.86,344422.09,64200.66,344422.09,3117555.69,60891336.35,5861505.71,285379327.4,892974.65,213399228.5,25470.9,107631322.4,CarMax Auto Owner Trust 2017-1
0,7/31/2018,68632.09,356408.01,54878.83,356408.01,3400417.26,63383362.16,6286718.17,296484557.1,861247.13,221858698.1,58092.16,111978079,CarMax Auto Owner Trust 2017-1
0,6/30/2018,129384.99,361173.21,55318.37,361173.21,3123606.14,65456109.84,5819540.66,307436213.9,695081.66,230621282.9,17189.4,116107882.1,CarMax Auto Owner Trust 2017-1
0,5/31/2018,85266.01,365554.79,33731.91,365554.79,3158520.07,67645709.85,5398871.98,318382160.2,825639.49,239579388.5,27145.51,120493236.4,CarMax Auto Owner Trust 2017-1
0,4/30/2018,116383.38,371185.78,17073.15,371185.78,3062694.59,69814070.68,5118367.22,330064696.8,669929.23,248727535.7,43622.77,125044968.2,CarMax Auto Owner Trust 2017-1
0,3/31/2018,109862.85,377534.22,32705.56,377534.22,3101250.26,72253076.16,5059504.54,341663878.3,710541.25,257717394.3,60186,129478726,CarMax Auto Owner Trust 2017-1
0,2/28/2018,90687.78,384875.61,17256.77,384875.61,3692221.94,75004961.92,6348834.79,354785361.4,767047.85,267744329.5,38430.72,134476322.1,CarMax Auto Owner Trust 2017-1
0,1/31/2018,115531.84,403591.86,29823.51,403591.86,4158057.33,77501622.76,6912618.91,367006142.4,600267.76,276957229.8,38772.15,139238272.2,CarMax Auto Owner Trust 2017-1
0,12/31/2017,94946.06,420262.76,25246.02,420262.76,4027375.61,80140252.12,5956592.61,379257441.1,598508.5,286532519.4,67484.14,144058305.3,CarMax Auto Owner Trust 2017-1
0,11/30/2017,89468.95,424551.4,28274.62,424551.4,3724543.8,82876265.49,5389512.08,390832000.9,685660.76,295798191.6,8636.79,148764307.4,CarMax Auto Owner Trust 2017-1
0,10/31/2017,103522.62,430055.77,0,430055.77,3368217.44,85441543.81,5340466.32,403287622,598125.56,305786841.3,8636.79,153745956.2,CarMax Auto Owner Trust 2017-1
0,9/30/2017,61473.48,434744.08,0,434744.08,3213279.79,88336106.79,4993929.32,417795879.7,653051.17,316555344.1,28588.05,158500898.5,CarMax Auto Owner Trust 2017-1
0,8/31/2017,47983.11,441893.04,31628.36,441893.04,3163986.18,90892671.87,5317640.44,431939449.2,429935.87,326912584.5,51208.58,163783351.7,CarMax Auto Owner Trust 2017-1
0,7/31/2017,49832.12,459825.63,17488.83,459825.63,2521648.58,93935110.63,4595999.23,445937559.4,381472.19,338086369.4,39082,169431548.4,CarMax Auto Owner Trust 2017-1
0,6/30/2017,79467.7,464708.22,17488.83,464708.22,2387321.24,96840252.11,3552374.38,459891181.5,406802.05,349599256.2,22114.01,175011078.7,CarMax Auto Owner Trust 2017-1
0,5/31/2017,49344,469416.58,17488.83,469416.58,1917215.93,99790212.15,3007725.58,474984099.6,483806.68,361380004,7360.72,180975475.6,CarMax Auto Owner Trust 2017-1
0,4/30/2017,44851.93,473773.06,0,473773.06,1412936.93,102589878.7,2803181.97,489546265,533329.25,374400651.8,46653.21,186931163.7,CarMax Auto Owner Trust 2017-1
0,3/31/2017,25560.05,478953.64,0,478953.64,1331670.44,105658609.9,1859367.27,503975950.2,425268.63,386202401.9,17106.93,192807501,CarMax Auto Owner Trust 2017-1
